ranking,SEQ_ORGAO,NOMEDAVARA,SEQ_ORGAO_PAI,GRAU_ORGAO,SEQ_CIDADE,DSC_CIDADE,SIG_UF,COD_IBGE,DSC_TIP_ORGAO,TIP_ESFERA_JUSTICA,INT_ORDEM_ORGAO,LATITUDE,LONGITUDE,CAPITAL,qtd_processos,tempo_medio_proc,tempo_entre_movs,cluster_processual_mais_comum,cluster_unidade,procs_em_alerta,ranking,pontuacao_unidade
1.0,19457,VT DE NAVEGANTES,13208.0,GRA1T,3208.0,navegantes,SC,4211306.0,Varas Trabalhistas,T,,-26.9015029,-48.648108,0,1156,378.13667820069196,19.910780249568397,1,1,0,1.0,-12594334.537032928
2.0,20562,Vara do Trabalho de Xinguara,13204.0,GRA1T,5503.0,xinguara,PA,1508407.0,Varas Trabalhistas,T,0.0,-7.0853027777778,-49.934197222222,0,1030,497.61844660194174,13.384895840541013,1,1,0,2.0,-10058141.077530554
3.0,18575,9ª VARA DO TRABALHO DE ARACAJU,13216.0,GRA1T,291.0,aracaju,SE,2800308.0,Varas Trabalhistas,T,9.0,-10.913031,-37.096198,1,603,291.47595356550585,5.958681524607482,1,1,0,3.0,-7176192.056549277
4.0,18574,8ª VARA DO TRABALHO DE ARACAJU,13216.0,GRA1T,291.0,aracaju,SE,2800308.0,Varas Trabalhistas,T,8.0,-10.913031,-37.096198,1,490,182.49183673469392,7.261335837626513,1,1,0,4.0,-6359023.593241716
5.0,50331,33ª Vara do Trabalho da Região do Cariri,13203.0,GRA1T,2593.0,juazeiro do norte,CE,2307304.0,Varas Trabalhistas,T,3.0,-7.2296037,-39.3429772,0,445,141.52134831460674,8.668567697921558,1,1,0,5.0,-5951080.565436832
6.0,29287,GOIÂNIA  - 14A VARA,13214.0,GRA1T,1903.0,goiania,GO,5208707.0,Varas Trabalhistas,T,,-16.699153364937,-49.27290682597,1,455,291.7010989010989,9.078425351266242,1,1,0,6.0,-5399631.844600654
7.0,20531,17ª Vara do Trabalho de Belém,13204.0,GRA1T,572.0,belem,PA,1501402.0,Varas Trabalhistas,T,17.0,-1.4383166666667,-48.486861111111,1,447,294.84787472035794,6.112242950528728,1,1,0,7.0,-5303884.563354986
8.0,29289,GOIÂNIA  - 16A VARA,13214.0,GRA1T,1903.0,goiania,GO,5208707.0,Varas Trabalhistas,T,,-16.699153364937,-49.27290682597,1,428,239.69158878504672,11.84777307167574,1,1,0,8.0,-5289957.142910042
9.0,29288,GOIÂNIA  - 15A VARA,13214.0,GRA1T,1903.0,goiania,GO,5208707.0,Varas Trabalhistas,T,,-16.699153364937,-49.27290682597,1,441,322.75736961451247,8.904449292502315,1,1,0,9.0,-5097295.875010112
10.0,20690,IGARASSU  - 02A VARA,13202.0,GRA1T,2124.0,igarassu,PE,2606804.0,Varas Trabalhistas,T,,-7.8776472222222,-34.905841666667,0,370,118.35405405405407,4.692727338929162,1,1,0,10.0,-5048505.188616038
11.0,29291,GOIÂNIA  - 18A VARA,13214.0,GRA1T,1903.0,goiania,GO,5208707.0,Varas Trabalhistas,T,,-16.699153364937,-49.27290682597,1,404,292.44059405940595,10.56366211740473,1,1,0,11.0,-4785401.244887297
12.0,74451,10ª VARA DO TRABALHO DE JOÃO PESSOA,13209.0,GRA1T,2565.0,joao pessoa,PB,2507507.0,Varas Trabalhistas,T,10.0,-7.1070083,-34.8442357,1,353,144.43626062322946,2.770447705017457,1,1,0,12.0,-4731258.519335597
13.0,35093,Única Vara do Trabalho de São Gonçalo do Amarante,13203.0,GRA1T,4612.0,sao goncalo do amarante,CE,2312403.0,Varas Trabalhistas,T,0.0,-3.6077093,-38.9677019,0,325,104.63076923076923,4.771442843921432,1,1,0,13.0,-4478832.643373828
14.0,50341,2ª Vara do Trabalho de Sobral,13203.0,GRA1T,5015.0,sobral,CE,2312908.0,Varas Trabalhistas,T,0.0,-3.691212,-40.3530597,0,357,243.96918767507003,7.3771733287570065,1,1,0,14.0,-4413092.886253179
15.0,20533,19ª Vara do Trabalho de Belém,13204.0,GRA1T,572.0,belem,PA,1501402.0,Varas Trabalhistas,T,19.0,-1.4383166666667,-48.486861111111,1,388,352.3865979381444,6.170345500227574,1,1,0,15.0,-4380332.718090594
16.0,50308,Única Vara do Trabalho de Eusébio,13203.0,GRA1T,1709.0,eusebio,CE,2304285.0,Varas Trabalhistas,T,0.0,-3.88965133,-38.44816582,0,370,302.65675675675675,12.6120546073322,1,1,0,16.0,-4337283.677722947
17.0,30311,VARA DO TRABALHO DE BOM JESUS,13218.0,GRA1T,666.0,bom jesus,PI,2201903.0,Varas Trabalhistas,T,,-9.074336,-44.350414,0,783,839.8301404853128,114.81226434136455,1,1,0,17.0,-4172426.66496379
18.0,77181,11ª VARA DO TRABALHO DE JOÃO PESSOA,13209.0,GRA1T,2565.0,joao pessoa,PB,2507507.0,Varas Trabalhistas,T,11.0,-7.1070083,-34.8442357,1,303,126.0924092409241,4.919690179472521,1,1,0,18.0,-4110166.5972088357
19.0,80256,13ª VARA DO TRABALHO DE JOÃO PESSOA,13209.0,GRA1T,2565.0,joao pessoa,PB,2507507.0,Varas Trabalhistas,T,0.0,-7.1070083,-34.8442357,1,296,120.86824324324324,9.683468607629807,1,1,0,19.0,-4016573.0995946187
20.0,50336,2ª Vara do Trabalho de Maracanaú,13203.0,GRA1T,2883.0,maracanau,CE,2307650.0,Varas Trabalhistas,T,0.0,-3.8800269,-38.6310896,0,324,296.3981481481481,14.627132297578768,1,1,0,20.0,-3811792.6251467834
21.0,19417,3ª VT DE SÃO JOSÉ,13208.0,GRA1T,4683.0,sao jose,SC,4216602.0,Varas Trabalhistas,T,3.0,-27.5999358,-48.6099772,0,537,728.022346368715,52.35940233700312,3,1,0,21.0,-3797303.193101148
22.0,80255,12ª VARA DO TRABALHO DE JOÃO PESSOA,13209.0,GRA1T,2565.0,joao pessoa,PB,2507507.0,Varas Trabalhistas,T,0.0,-7.1070083,-34.8442357,1,272,98.29044117647058,4.635686151702082,1,1,0,22.0,-3766039.928525372
